Headlines,Descriptions,Authors,Published_Dates,Articles,Keywords,Summaries
Serenity in the South China Sea,"The central, painful reality that the US must accept is that a major shift in the Asia-Pacific balance of power has already taken place. The days of America's unequivocal primacy and unilateral capacity to write the rules are over.",,2015-07-03T00:00:00+06:00,"Diplomats and alcoholics don't always have as much in common as is sometimes assumed. But there is useful guidance for policymakers in the Reinhold Niebuhr prayer that Alcoholics Anonymous has made its own: “God, grant me the serenity to accept the things I cannot change, the courage to change the things I can, and the wisdom to know the difference.”

America's response to China's rise – and in particular to its assertiveness in the South China Sea – is a case in point. The United States should accept many dimensions of China's economic, and now military, growth with as much serenity as it can muster. But there are some that call for pushback, and the jury is still out on America's capacity to make the right calls.

The central, painful reality that the US must accept is that a major shift in the Asia-Pacific balance of power has already taken place. The days of America's unequivocal primacy and unilateral capacity to write the rules are over.

Economically, the writing is on the wall. Despite US opposition to China's Asian Infrastructure and Investment Bank, much of the region has embraced it. And, again despite US resistance, it seems inevitable that the renminbi will join the International Monetary Fund's reserve-currency basket. Then there is the immense difficulty the US is having in bringing its China-excluding Trans-Pacific Partnership trade pact to fruition.

Militarily, while the US will remain the dominant global power for the foreseeable future, its absolute superiority in East Asia is no longer unchallenged. The dramatic build-up of China's military (especially naval) capability is no more than can be expected of a hugely trade-dependent regional superpower. It is not easy for some US leaders to say so publicly, but most acknowledge privately that America can no longer expect to have the seas and skies to itself. Its role will necessarily be scaled back to that of regional counterweight.

But how far should serenity extend when it comes to the South China Sea? This is the most sensitive geopolitical issue looming over Xi's state visit to the US in September. China has been stretching the limits of regional (and US) tolerance with its expansive sovereignty claims and massive land-reclamation activity – some 2,000 acres in the last 18 months – on Fiery Cross Reef and elsewhere. Pushback is required, but within defined limits.

What critics of China's land reclamation need to understand is that, even without any credible sovereignty claims to the sea area in question, or any islands within it, under international law China does have the right to build artificial islands and installations, including airstrips, on outlying reefs and shoals. The Philippines, Vietnam, and Malaysia have been doing so for years in the Spratly Islands, albeit on a smaller scale. Although such installations must be for “peaceful purposes,” that does not necessarily exclude some military presence, provided the intent is non-aggressive.

The US cannot stop such activity and should not try. What it can do is make clear that reclamation activity does not, by itself, provide a foundation for any new sovereignty claim or exclusionary activity. The reclaiming country can set a 500-meter “safety zone” around such installations. That is all. China cannot claim a 12-mile territorial sea or a 200-mile exclusive economic zone (EEZ); nor can it put in place an air defense identification zone or any other kind of military exclusion operation. And the US is within its rights to make this point by flying surveillance aircraft to within 500 meters of such installations.

As for China's broader sovereignty claims, again some distinctions are necessary. To the extent that these claims are based on the “nine-dashed line” – embracing some 80 percent of the South China Sea and described as China's “historic waters” – the entire international community should reject them out of hand. The United Nations Convention on the Law of the Sea (UNCLOS) – now generally accepted as customary international law even by countries that, like the US, have failed to ratify it – is the only credible framework within which any kind of exclusive claims can be made.

On the other hand, to the extent that China's claims are based on long use or occupancy of particular habitable islands in the Spratly or Paracel groups or elsewhere (and as such consistent with UNCLOS, to which China is a party), they may be as credible as those of other regional players, if not more so. So the US and other outsiders are right not to take sides about competing claims, and to urge that they be resolved by negotiation or international adjudication, not by force.

Pending resolution of these competing claims, it is also appropriate, in the course of asserting the right to freedom of navigation, that the US and others treat as a de facto sovereign exclusion zone a 12-mile perimeter around such islands. After all, if they are not owned by China, they are owned by someone. As with the reef installations, the wise course is to minimise provocation.

On the issue of freedom of navigation, China should be believed when it says that it is not in the business of obstructing commercial shipping or flights anywhere in the South China Sea. But it has created difficulties for the US – and a continuing risk of inflammatory incidents – by insisting that, within the entire 200-mile EEZ extending beyond its territorial waters, no military ship or aircraft has a right to engage in surveillance and intelligence collection.

American pushback on this front, though justified, should be tempered. In the interest of defusing tensions, the US should scale back its monitoring activities within China's EEZs and rely more on less obviously intrusive means.

Managing the US-China relationship in general, and the South China Sea in particular, requires, above all, keeping official rhetoric under control. Lines will need to be drawn, but wise leaders will focus on cooperative diplomatic solutions, playing military cards to the minimum extent possible – and perhaps repeating to themselves, the AA serenity prayer before creating expectations that they cannot meet.

The writer was Foreign Minister of Australia 1988-96, co-chaired the International Commission on Nuclear Non-Proliferation and Disarmament 2009, and is author of The Responsibility to Protect: Ending Mass Atrocity Crimes Once and For All and co-author of Nuclear Weapons: The State of Play 2015.

Copyright: Project Syndicate, 2015.

www.project-syndicate.org

( Exclusive to The Daily Star)","['claims', 'right', 'international', 'military', 'china', 'islands', 'zone', 'chinas', 'serenity', 'sea', 'south']","The dramatic build-up of China's military (especially naval) capability is no more than can be expected of a hugely trade-dependent regional superpower.
But how far should serenity extend when it comes to the South China Sea?
To the extent that these claims are based on the “nine-dashed line” – embracing some 80 percent of the South China Sea and described as China's “historic waters” – the entire international community should reject them out of hand.
On the issue of freedom of navigation, China should be believed when it says that it is not in the business of obstructing commercial shipping or flights anywhere in the South China Sea.
Managing the US-China relationship in general, and the South China Sea in particular, requires, above all, keeping official rhetoric under control."
UN chief accuses India of intolerance with gay sex ban,"United Nations Chief Ban Ki-moon has accused India of fomenting intolerance with its ban on gay sex amid uproar over a ruling party minister's plans to make homosexuals ""normal"". Speaking on a visit to the capital New Delhi, Ban said he ""staunchly opposed the criminalisation of homosexuality"" referring to India's colonial-era law that prohibits gay sex. ""I am proud to stand for the equality of all people -- including those who are lesbian, gay, bisexual and transgender,"" the UN secretary general said in a statement late Monday.",,2015-01-14T00:00:46+06:00,"United Nations Chief Ban Ki-moon has accused India of fomenting intolerance with its ban on gay sex amid uproar over a ruling party minister's plans to make homosexuals ""normal"".

Speaking on a visit to the capital New Delhi, Ban said he ""staunchly opposed the criminalisation of homosexuality"" referring to India's colonial-era law that prohibits gay sex.

""I am proud to stand for the equality of all people -- including those who are lesbian, gay, bisexual and transgender,"" the UN secretary general said in a statement late Monday.

""I speak out because laws criminalising consensual, adult same-sex relationships violate basic rights to privacy and to freedom from discrimination. Even if they are not enforced, these laws breed intolerance.""

India's Supreme Court reimposed a ban on gay sex in late 2013, ruling that the responsibility for changing the 1861 law rested with lawmakers and not judges.

Gay sex had been effectively legalised in 2009 when the Delhi High Court ruled that banning ""carnal intercourse against the order of nature"" was a violation of fundamental rights.

Ban's comments came on the same day that a state minister from Indian Prime Minister Narendra Modi's ruling party announced his plans to make gays ""normal"" in the coastal resort state of Goa.

Ramesh Tawadkar, sports and youth affairs minister in Goa's state government, told reporters that he planned to open up centres on the lines of Alcoholics Anonymous to treat them.

""We will make them normal. We will have centres for them, like Alcoholic Anonymous centres,"" Tawadkar said, adding that the state would ""train them and give them medicines too"".

Tawadkar, a member of Modi's Bharatiya Janata Party (BJP), made the comments after releasing the state's policy on youth issues which listed lesbians, gays, bisexuals and transgenders as a stigmatised group that needed attention.","['tawadkar', 'accuses', 'ban', 'state', 'chief', 'intolerance', 'gay', 'sex', 'party', 'centres', 'ruling', 'india', 'minister', 'youth']","United Nations Chief Ban Ki-moon has accused India of fomenting intolerance with its ban on gay sex amid uproar over a ruling party minister's plans to make homosexuals ""normal"".
Speaking on a visit to the capital New Delhi, Ban said he ""staunchly opposed the criminalisation of homosexuality"" referring to India's colonial-era law that prohibits gay sex.
India's Supreme Court reimposed a ban on gay sex in late 2013, ruling that the responsibility for changing the 1861 law rested with lawmakers and not judges.
Gay sex had been effectively legalised in 2009 when the Delhi High Court ruled that banning ""carnal intercourse against the order of nature"" was a violation of fundamental rights.
We will have centres for them, like Alcoholic Anonymous centres,"" Tawadkar said, adding that the state would ""train them and give them medicines too""."
India ruling party minister slammed over plans to 'normalise' gays,"Indian Prime Minister Narendra Modi's ruling party came under fire yesterday after a minister from one of its state governments announced plans to make gays ""normal"" in the Goa resort region. Ramesh Tawadkar, from Modi's Bharatiya Janata Party (BJP), said the Goa state government was planning to open centres to treat homosexuals in the region, whose long sandy beaches and laid-back lifestyle have long been a haven for tourists.",,2015-01-14T00:00:52+06:00,"Indian Prime Minister Narendra Modi's ruling party came under fire yesterday after a minister from one of its state governments announced plans to make gays ""normal"" in the Goa resort region.

Ramesh Tawadkar, from Modi's Bharatiya Janata Party (BJP), said the Goa state government was planning to open centres to treat homosexuals in the region, whose long sandy beaches and laid-back lifestyle have long been a haven for tourists.

""We will make them normal. We will have centres for them, like Alcoholics Anonymous centres,"" sports and youth affairs minister Tawadkar told reporters on Monday, adding that the government would ""train them and give them medicines too"".

Gay rights groups branded the comments offensive and ignorant, while the main opposition Congress party slammed the minister's attitude as shameless.","['tawadkar', 'india', 'normal', 'gays', 'state', 'goa', 'party', 'centres', 'ruling', 'slammed', 'modis', 'long', 'plans', 'minister', 'normalise', 'youth']","Indian Prime Minister Narendra Modi's ruling party came under fire yesterday after a minister from one of its state governments announced plans to make gays ""normal"" in the Goa resort region.
Ramesh Tawadkar, from Modi's Bharatiya Janata Party (BJP), said the Goa state government was planning to open centres to treat homosexuals in the region, whose long sandy beaches and laid-back lifestyle have long been a haven for tourists.
""We will make them normal.
We will have centres for them, like Alcoholics Anonymous centres,"" sports and youth affairs minister Tawadkar told reporters on Monday, adding that the government would ""train them and give them medicines too"".
Gay rights groups branded the comments offensive and ignorant, while the main opposition Congress party slammed the minister's attitude as shameless."
Why wait for others when we can do it ourselves?,"While some of us sit and wait for the world to change, others step up and create change themselves. A Managing Director of a commercial bank, who wishes to remain anonymous, and his three daughters are prime examples of how individuals can improve our society.",,2018-11-16T00:00:00+06:00,"While some of us sit and wait for the world to change, others step up and create change themselves. A Managing Director of a commercial bank, who wishes to remain anonymous, and his three daughters are prime examples of how individuals can improve our society.

Despite their busy schedules, the family members take turns throughout the week to teach the street children for an hour every evening, in the parking garage of their building. The books and stationery are provided for free, animated English films are screened through a projector, and hearty meals are enjoyed each Friday.

It began in 2015, when the banker asked the street children to sit with him and from their first conversation he realised the potential behind each bright face. He believes that nurturing people opens roads to freedom and growth; these kids are no different from us, we simply fail to give them a proper environment.

The friendly colloquial atmosphere in the garage parking lot is a favorable learning platform for the children. Some of them state that the long hours and systematic way of learning in formal settings is not for them; especially, if they are earning during the day. One boy, who introduced himself proudly, by spelling out his name Alamin, mentioned that his stepfather restrains him from entering school but now he can learn the essentials without informing his parents.

On a typical Friday class, as the children eagerly do their math calculations and are immersed in their reading of Rabindranath Tagore's Chelebela, the youngest daughter, a school student herself, supervises them. She admits that minor challenges exist, such as irregular attendance, but she is happy to be contributing to society.

Equipped with basic education, opportunities have opened up for the kids. Few former cigarette sellers are currently hired in grocery stores and showrooms due to their ability to read, write and calculate. The banker believes in higher possibilities in the future, he expects to see them as HSC/SSC and university graduates, and hopes that some are employed in his own bank one day.","['kids', 'street', 'garage', 'school', 'change', 'day', 'sit', 'parking', 'children', 'wait', 'learning']","While some of us sit and wait for the world to change, others step up and create change themselves.
Despite their busy schedules, the family members take turns throughout the week to teach the street children for an hour every evening, in the parking garage of their building.
It began in 2015, when the banker asked the street children to sit with him and from their first conversation he realised the potential behind each bright face.
The friendly colloquial atmosphere in the garage parking lot is a favorable learning platform for the children.
Few former cigarette sellers are currently hired in grocery stores and showrooms due to their ability to read, write and calculate."
ONLINE VOICES,,,2011-08-05T00:00:00+06:00,"New International Airport

Govt eyes Arial Beel, 3 other sites (August 2, 2011)

Another attempt to waste money in the name of the Father of the Nation. Sheikh Hasina's persistence on this matter will bring disaster in the next election.

HH

We need a sea port before an airport because the survival of this country depends on that. The govt. should look for higher priority things than a mega airport.

Anonymous

All national economic and social sectors need fast development in a cost effective way without sacrificing our cultural values and not copying western institutions. Bengalis are weak in management, so management training is a priority before planning an international airport. Think fresh.

Dr Karim

I think government should totally rethink about the project and as a substitute of having a new airport at a different location, I strongly recommend that current international airport has room for expansion. BAF base located just opposite the airport can be relocated at a much cheaper price which should give us enough land to construct a parallel runway and a much bigger international terminal to suit the requirement for future. This is dynamic thinking and it is practical. We need half of the fund that is being proposed at current.

Sheikh Monirul Islam, Opee

While there has been no movement on strategic importance of building a higher capacity sea port, this unnecessary airport comes up again and again. The political parties are run by sycophants keeping the country from reaching it's potential.

NRB

It's very difficult to understand why the government is after this mega project when lot of their priority projects in socio-economic sectors are either remaining unattended or delayed for funding crisis and other technical disagreement with the donors. The highly talked about Padma Bridge is an example to cite here. Lot more will soon unveil.

Anonymous

There are so many areas and sectors crying for funds, expertise and attention but they are overlooked. Let us rename the existing airport after a massive renovation work. At least for a few years we can utilize the 'old' airport to the fullest if we are smart enough. Surely building a new airport is not a priority. We are languishing in many areas including education, health and infrastructure.

Ali

These Beels are still the rice basket of Bangladesh. But in Bangladesh, population is increasing and cultivable land is shrinking at a rapid speed. This cannot go well for long. Current food prices, inflation, unmatched income and expenditure for ordinary citizens are bound to cause a lot more sufferings and unrest in the coming years and decades. Decision makers, politicians, civil societies and most importantly the citizens need to speak out against these kinds of nonsense ideas and plans now to avoid disasters soon. Thanks to The Daily Star for publishing this report for the citizens Right to Know!

Anonymous

I absolutely support a new massive international airport. When I walk through any foreign nation's gigantic airport terminals, I literally look down to us. Some instant repliers will argue that we only utilize 70% of the total capacity of the existing airport. I have a different point of view. We can have a trash that can be totally unused. Already, most of the European airlines have declined to operate in Bangladesh due to the poor conditions of standards in our existing airport.

SNH

While there is no power, water, roads are broken and people are dying everyday from police brutality and terrorism, the prime minister is playing the flute like Nero making airports, port and Padma Bridge which are simply useless.

Zulfikar Ali

We felt relieved after the tragic incident at Arial Beel when PM declared that no more new airport will be built. But sudden change of her mind shocked us. It seems BD is floating on immense wealth when global recession is engulfing the whole world.

Yamin

We need service to satisfy to our people. We need to develop rather than to expend huge amount on such unproductive purpose at this moment.

Nasarullah

None of the foreign country including USA should allow Hasina's plan to build the airport and kill humanity.

Insider

We cannot sleep due to severe load shedding and they are dreaming for mega airport!

Anonymous

Bhanga seems to be the most suitable place to establish the new airport to us.

Mahmud Hassan

Readers' instant

comments on

The Daily Star Online reports.

Log on to thedailystar.net to

leave your comments.","['airport', 'voices', 'international', 'sectors', 'need', 'port', 'priority', 'existing', 'country', 'online', 'lot', 'mega']","AnonymousAll national economic and social sectors need fast development in a cost effective way without sacrificing our cultural values and not copying western institutions.
Bengalis are weak in management, so management training is a priority before planning an international airport.
Some instant repliers will argue that we only utilize 70% of the total capacity of the existing airport.
Already, most of the European airlines have declined to operate in Bangladesh due to the poor conditions of standards in our existing airport.
InsiderWe cannot sleep due to severe load shedding and they are dreaming for mega airport!"
"The price for lunch with Warren Buffett: $3,300,100","An anonymous bidder agrees to pay $3,300,100 at auction to have a private lunch with Warren Buffett, the billionaire chairman of Berkshire Hathaway Inc.",,2018-06-04T19:32:10+06:00,"An anonymous bidder has agreed to pay $3,300,100 at auction to have a private lunch with Warren Buffett, the billionaire chairman of Berkshire Hathaway Inc.

The winning bid came near the end of a five-day online auction on eBay to benefit the Glide Foundation, a San Francisco charity that serves people who are poor, homeless or battling substance abuse.

It was the third highest price in the 19 years Buffett has offered lunch, near the record $3,456,789 bid in both the 2012 and 2016 auctions. This year’s auction drew 136 bids from just six bidders before ending on Friday night.

The auction helps cover Glide’s $20 million annual budget, which goes toward providing roughly 750,000 free meals, shelter, HIV and Hepatitis C tests, job training, and children’s day care and after-school programs.

“Glide really takes people who have hit rock bottom and helps bring them back,” Buffett said in a statement.

Buffett, 87, has raised $29.6 million for Glide through the 19 auctions.

His first wife Susan, who died in 2004, introduced him to Glide after volunteering there. The Reverend Cecil Williams, 88, Glide’s charismatic co-founder, remains a minister at its affiliated church.

“The $3.3 million is an extraordinary gift, not just the money but the fact that Warren Buffett lends his name and reputation and shines a light on the work Glide does,” Glide’s president, Karen Hanrahan, said by phone. “Demand for our services is skyrocketing, in this city of innovation and wealth.”

The winning bidder and up to seven friends can dine with Buffett at the Smith & Wollensky steak house in Manhattan.

Buffett will discuss anything apart from what he might invest in next.

Ted Weschler, a hedge fund manager, paid a combined $5.25 million to win the 2010 and 2011 auctions, and later joined Berkshire as one of Buffett’s investment managers.

Berkshire has more than 90 businesses in the insurance, energy, food and retail, industrial, railroad, real estate and other sectors, and also invests in companies such as Apple Inc, Wells Fargo & Co and Coca-Cola Co.

According to Glide, these bidders have won its auctions:

2000: Pete Budlong, $25,000

2001: Jim Halperin and Scott Tilson, $20,000

2002: Jim Halperin and Scott Tilson, $25,000

2003: David Einhorn, Greenlight Capital, $250,100

2004: Jason Choo, Singapore, $202,100

2005: Anonymous, $351,100

2006: Yongping Duan, California, $620,100

2007: Mohnish Pabrai, Guy Spier, Harina Kapoor, $650,100

2008: Zhao Danyang, Pure Heart Asset Management, China, $2,110,100

2009: Courtenay Wolfe, Salida Capital, Canada, $1,680,300

2010: Ted Weschler, $2,626,311

2011: Ted Weschler, $2,626,411

2012: Anonymous, $3,456,789

2013: Anonymous, $1,000,100

2014: Andy Chua, Singapore, $2,166,766

2015: Zhu Ye, Dalian Zeus Entertainment Co, China, $2,345,678

2016: Anonymous, $3,456,789

2017: Anonymous, $2,679,001

2018: Anonymous, $3,300,100","['lunch', 'tilson', 'buffett', 'glide', 'million', '3300100', 'price', 'warren', 'anonymous', 'weschler', 'winning', 'glides', 'auction']","An anonymous bidder has agreed to pay $3,300,100 at auction to have a private lunch with Warren Buffett, the billionaire chairman of Berkshire Hathaway Inc.
It was the third highest price in the 19 years Buffett has offered lunch, near the record $3,456,789 bid in both the 2012 and 2016 auctions.
“Glide really takes people who have hit rock bottom and helps bring them back,” Buffett said in a statement.
Buffett, 87, has raised $29.6 million for Glide through the 19 auctions.
“The $3.3 million is an extraordinary gift, not just the money but the fact that Warren Buffett lends his name and reputation and shines a light on the work Glide does,” Glide’s president, Karen Hanrahan, said by phone."
Toxic alcohol toll hits 93 in Assam,"Ninety-three workers have died and at least 200 others have been hospitalised in northeastern India after drinking toxic liquor,",,2019-02-24T00:00:00+06:00,"Ninety-three workers have died and at least 200 others have been hospitalised in northeastern India after drinking toxic liquor, officials said yesterday, in the latest case of alcohol poisoning in the country.

The deaths in Assam state came less than two weeks after tainted liquor killed about 100 people in the northern states of Uttar Pradesh and Uttarakhand.

Dhiren Hazarika, deputy commissioner of Golaghat district in Assam said people started falling sick after consuming a batch of illegally produced liquor late Thursday.

The victims, who include many women, worked at local tea estates in the region. The death toll could rise further as officials said some of the afflicted were in a critical condition.

""The people came to the hospital with severe vomiting, extreme chest pain and breathlessness,"" doctor Ratul Bordoloi, joint director of Golaghat's health department, told AFP.

Assam Chief Minister Sarbananda Sonowal has ordered an inquiry.

State police said they had arrested one man for selling the liquor, and authorities said two excise department officials were suspended for failing to take adequate precautions over the sale of the alcohol.

Some media reports, citing anonymous sources, said that more than 100 people had died and the exact number was still being verified by authorities.

Cheap, locally made liquor is common in parts of rural India and bootleggers often add methanol -- a highly toxic form of alcohol sometimes used as an anti-freeze -- to their product to increase its strength.","['department', 'liquor', 'alcohol', 'hits', 'officials', '100', 'assam', 'toxic', 'toll', '93', 'india', 'came', 'died']","Ninety-three workers have died and at least 200 others have been hospitalised in northeastern India after drinking toxic liquor, officials said yesterday, in the latest case of alcohol poisoning in the country.
The deaths in Assam state came less than two weeks after tainted liquor killed about 100 people in the northern states of Uttar Pradesh and Uttarakhand.
Dhiren Hazarika, deputy commissioner of Golaghat district in Assam said people started falling sick after consuming a batch of illegally produced liquor late Thursday.
The death toll could rise further as officials said some of the afflicted were in a critical condition.
Cheap, locally made liquor is common in parts of rural India and bootleggers often add methanol -- a highly toxic form of alcohol sometimes used as an anti-freeze -- to their product to increase its strength."
Readers Respond,Here are some comments that came in response to Saturday's The Daily Star report headlined “Suranjit slates role of home ministry” AnonymousPresident should resign on moral ground. AnonymousIt was the President who gave the clemency and he could reject the recommendation sent by the Home Ministry. AnonymousThe political leaders in Bangladesh are kind-hearted persons. They even pardon the multiple killers (if they are their own people). Dr. Nazmul Haq,,2011-07-24T00:00:00+06:00,"Here are some comments that came in response to Saturday's The Daily Star report headlined “Suranjit slates role of home ministry”

Anonymous

President should resign on moral ground.

Anonymous

It was the President who gave the clemency and he could reject the recommendation sent by the Home Ministry.

Anonymous

The political leaders in Bangladesh are kind-hearted persons. They even pardon the multiple killers (if they are their own people).

Dr. Nazmul Haq

I would like to ask Mr. Sen Gupta whether the president of Bangladesh has the capacity to read the files sent to his office for his signature and ask question about the content of the files which he is signing, or not.

Mahmood

I wish the government showed 25 percent of this mercy to our poor one-legged Limon. His leg actually was taken away from him by the government. I wonder if Limon was more dangerous criminal than this murderer who walks freely now!

Kabir Ahmad

Suranjit Sen Gupta urged not to blame President Zillur Rahman for granting clemency to Biplob and criticised the Home Ministry for not discussing with Law Ministry. But it was not clear whether this recommendation was submitted to the President directly from the Home Ministry or through the PM. In any way neither the President nor the Prime Minister can be excused for such injustice. This was unfair.

M. Talukdar

Clemency to a convicted murderer without proper procedures and justifications is another nail in the coffin of rule of law in Bangladesh. It has exposed flaws in legal and administrative systems of Bangladesh. No country can flourish and no government can govern effectively with this kind of deficiencies. Instead of looking for guilt, we should look for structural solutions of these pitfalls in our system.

Tomal

Whoever is responsible for granting this clemency doesn't matter. It is true that a killer has been granted it; the family of Nurul Islam is deprived of justice and it is regretful that even the Prime Minister herself defended it terming it as a politically motivated case. The government must review this clemency for the sake of justice and political stability.

OpeeMonir

Is Suranjit Sen a middleman to negotiate between the government functionaries and President's office? People are not stupid. We all know that the procedure is such. But President should look at the merit of each individual case. He just cannot sign it blindly simply saying that it did not go well with the people.

A concerned Citizen

Suranjit made this statement the way elders sometimes try to console disappointed toddlers just as a precautionary measure to avoid any further demotion. Everybody knows that such a matter can not reach the President's Office without being routed through PM's office. And this belief has been further strengthened by the PM herself by defending the pardon publicly on the ground of 'politically motivated conviction'. Had Suranjit been sincere enough on this issue? He would have rather suggested to sorting out a way on sealing the very constitutional loophole which might lead the country's highest office to face such embarrassment.","['office', 'respond', 'sent', 'ministry', 'suranjit', 'recommendation', 'readers', 'way', 'bangladesh', 'sen', 'clemency', 'president']","AnonymousIt was the President who gave the clemency and he could reject the recommendation sent by the Home Ministry.
But it was not clear whether this recommendation was submitted to the President directly from the Home Ministry or through the PM.
In any way neither the President nor the Prime Minister can be excused for such injustice.
OpeeMonirIs Suranjit Sen a middleman to negotiate between the government functionaries and President's office?
Everybody knows that such a matter can not reach the President's Office without being routed through PM's office."
Readers Respond,"Here are some comments that came in response to Tuesday's The Daily Star news report headlined “Hindus attacked, raped.” ShamimThis is a very important time for Bangladesh and all of us, who had gone through those dark days. This is a start, and let us not stop the trial by prosecuting only a few at the top. Abdul Jalil KhanNot only Hindus, but all the Bangalees, irrespective of religion, were tortured, killed and raped. AnonymousAll these allegations are fabricated by the AL people. Mohammad Faruque",,2011-11-23T00:00:00+06:00,"Here are some comments that came in response to Tuesday's The Daily Star news report headlined “Hindus attacked, raped.”

Shamim

This is a very important time for Bangladesh and all of us, who had gone through those dark days. This is a start, and let us not stop the trial by prosecuting only a few at the top.

Abdul Jalil Khan

Not only Hindus, but all the Bangalees, irrespective of religion, were tortured, killed and raped.

Anonymous

All these allegations are fabricated by the AL people.

Mohammad Faruque

These miscreants who were rehabilitated need to be brought to justice. It should not be a political prosecution. The war crimes tribunal should be transparent; it should expose the war criminals and give them punishment for the heinous crimes they have committed.

Tariq

These charges are politically motivated.

Ayub Rahim

This story is horrible and if it is true, he should be punished as per the law of the country. But again, why Ghulam Azam, the number one criminal is not arrested, yet? Ghulam Azam is free but Sayedee is being tried in full vigour. There is something fishy in this tribunal.

Nasir Tarafder

In this category, our 'golden boys' have surpassed all records. Not any of these 'golden boys' had to face any trial. The most tragic part of the story is that they are the sons of this independent country and raped their fellow country girls. How outrageous! What a shame!

S Ali

Sayedee used to deliver lectures in big gatherings almost all over Bangladesh during the period of Bangabandhu. But then no step was taken against him. Even during the previous term of the Awami League (AL) government, his party Jamaat-e-Islami was a close ally of the ruling party. If the charges framed against him are facts, how could he escape punishment during the past forty years?

Dev Saha

The war criminals should not be forgiven for their crimes. I am disgusted to see how some people have been trying to protect these criminals from being prosecuted.

Anonymous

The Daily Star cartoon and its report on the subject indicate that the daily has already given its judgement. The norm is, the suspect is innocent until proved guilty.

Talat Islam

It is unbelievable to see how many people are against this case.

RCH

How about punishing him according to the Islamic Shariah Law?

Bangalee Abar Jago Assoc. of USA

Sayedee is a shame for Bangladesh and should be executed in public before BNP comes to power again.

Anonymous

Not only Sayedee, but the war criminals also should be tried.","['crimes', 'respond', 'tried', 'daily', 'war', 'star', 'criminals', 'readers', 'trial', 'country', 'bangladesh', 'sayedee']","This is a start, and let us not stop the trial by prosecuting only a few at the top.
The war crimes tribunal should be transparent; it should expose the war criminals and give them punishment for the heinous crimes they have committed.
Dev SahaThe war criminals should not be forgiven for their crimes.
AnonymousThe Daily Star cartoon and its report on the subject indicate that the daily has already given its judgement.
AnonymousNot only Sayedee, but the war criminals also should be tried."
Gaitonde painting breaks world record for Indian art,"An oil painting by an Indian artist sold for 239m rupees ($3.6m; £2.4m) at a Christie's auction in Mumbai, setting a new world record for Indian art.",,2015-12-16T15:16:59+06:00,"An oil painting by an Indian artist has sold for 239m rupees ($3.6m; £2.4m) at a Christie's auction in Mumbai, setting a new world record for Indian art.

Vasudeo S. Gaitonde's untitled painting from 1995 was bought by an anonymous buyer, the auction house said.

The previous record was $4.01m for a work by Goan artist Francis Newton Souza.

Gaitonde, who died in 2001, is considered one of India's greatest abstract painters.

""It achieved a world record for any Indian work of art sold at auction,"" Christie's International Head of World Art William Robinson said.

The auction on Tuesday was the third for Christie's in India.","['artist', 'gaitonde', 'world', 'breaks', 'art', 'record', 'indian', 'work', 'christies', 'painting', 'sold', 'saidthe', 'auction']","An oil painting by an Indian artist has sold for 239m rupees ($3.6m; £2.4m) at a Christie's auction in Mumbai, setting a new world record for Indian art.
Vasudeo S. Gaitonde's untitled painting from 1995 was bought by an anonymous buyer, the auction house said.
The previous record was $4.01m for a work by Goan artist Francis Newton Souza.
Gaitonde, who died in 2001, is considered one of India's greatest abstract painters.
""It achieved a world record for any Indian work of art sold at auction,"" Christie's International Head of World Art William Robinson said."
