,authors,date_publish,description,text,title,url
0,[],2019-03-03,,"The police drug enforcement department on Saturday raided a house in Malé and arrested 20 suspects from an alleged drug trafficking network.
The house in Maafannu district was searched with a court warrant based on intelligence information of drug peddling.
Some 38 rubber packets with illicit narcotics were seized from the house. The 20 suspects include a minor and a foreign national, police said.
A group of locals selling drugs in Malé were also arrested in an operation last week. The 11 suspects included nine men, one woman and a minor.
On Friday, five suspects were arrested with 21 bottles of alcohol. A sixth suspect escaped when the suspects were stopped on the Ameer Ahmed road in the capital.
The six men on motorbikes were stopped based on information that they were smuggling alcohol bottles into Malé, police said.",20 arrested in drug network bust,https://maldivesindependent.com/crime-2/20-arrested-in-drug-network-bust-143999
1,[],2019-01-01,,"Three Maldivians connected with a Hong Kong-based international drug cartel were arrested in Kochi City on Monday with 1.5 litres of hashish oil, according to reports in Indian media.
The Maldivians – identified as Shifan Ibrahim, 30, Azim Habeeb, 33, and Mohamed Safoof, 34 – were arrested with Anthony Sami, 30, a Tamil Nadu native, from a hotel parking ground before they were about to leave for the airport.
Hidden in shampoo bottles, the drug haul was worth about US$246,500. Hashish oil is a thick liquid extracted from cannabis.
“The accused planned to smuggle the contraband brought from Rameswaram in Tamil Nadu to the Maldives via the Nedumbassery airport,” J Himendranath, deputy commissioner of the Kochi City police, was quoted as saying.
Their passports showed multiple trips between the Maldives, Thailand, Singapore and India in December alone, he said.
According to Kochi police, the suspects are part of a drug smuggling network from Hong Kong called Kona Gold, which uses Indian ports for their operations.
They were all on the wanted list of the Narcotics Control Bureau.
Last month, three Hongkongers were arrested while trying to smuggle 7kg of cocaine from the Maldives to the city. They were hired by a drug trafficking syndicate and promised a free tour of the Maldives in return, the South China Morning Post reported, citing Hong Kong police.
According to the new interim Maldives police chief, 130kg of drugs were seized in the country during the past three years.
“The drug epidemic is detrimental to our communities. Police use of certain tactics to prevent and deter drug trafficking and peddling is about achieving the overarching policing objective of protecting the public,” he tweeted Tuesday.
File photo of seized hashish oil packets.",Three Maldivian ‘mafia members’ arrested with drugs in India,https://maldivesindependent.com/crime-2/three-maldivian-mafia-members-arrested-with-drugs-in-india-143327
2,[],2018-12-13,,"The United States has committed US$10 million as aid to the Maldives, a senior diplomat from a visiting US delegation told the press on Tuesday
“I am pleased to announce that we’ve committed US$ 10 million to Maldives – US$7 million in foreign military financing to support Maldives maritime security and control its territorial waters and US$3 million to support civil society and help protect Maldives environment,” said David J. Ranz, the deputy assistant secretary of the central and south Asian affairs.
Ranz met reporters during an official visit to the Maldives with a delegation including senior officials from the Department of Justice, US AID, and the State Department’s bureau of international narcotics and law enforcement..
The Maldives is a critical partner in President Donal Trump’s Indo-Pacific strategy, he said, adding the US delegation has held discussions to “expand the partnership”
“The election of President Solih and subsequent peaceful transfer of power was a major democratic movement and one that we view as profoundly significant for the whole region,” he continued. “The goal of our trip has been examining ways that we can expand our partnership with the Maldives in pursuit of a free and open Indo-Pacific, including how to be supportive during this critical period of transition.”
Discussions with the Maldives government focused on objectives and challenges and how the US could support strengthening democracy, improving governance, enhancing security and promoting development, Ranz said.
The delegation also discussed providing capacity building and training for Maldivian investigative authorities to help carry out probes into public financing management, asset recovery, and debt management.
But the US would not actively participate in any domestic investigations unless the Maldivian government sought consultancy, Ranz stressed.
“One of the goals of the Indo-Pacific strategy is to ensure that countries receive investments that is economically viable, that ensure sovereignty and and ensure they’re able to make decisions that are in best interests if the country and their people,” he said.
“We’ve seen in the region examples where countries have promoted investment that wasn’t designed to be a benefit to the people and wasn’t designed economically or commercially viable,” he said, referring to Chinese financing of the previous administration’s infrastructure projects.
“That has not been positive for those countries or the region. Many countries have begun to push back, the Maldives is one of those countries that I think has begun to push back with the new government. So one clear area is ensuring that the investment you receive is going to be a benefit to the Maldivian people and contribute to your economic growth and prosperity.”
The US would also help the Maldives develop its ability to patrol territorial waters under the security initiative.
This would include helping to develop the island nation’s ability to to respond to humanitarian and natural disasters, Ranz added, noting that heavy rainfall flooded the capital Malé just last week.
The US would also facilitate private sector investments through the new development finance corporation created by the recently enacted US Global BUILD Act, he said.",US pledges US$10 million in aid for the Maldives,https://maldivesindependent.com/politics/us-pledges-us10-million-in-aid-for-the-maldives-143148
3,[],2018-06-02,,"The Maldives Correctional Service is under fire after the death of a Maafushi jail inmate.
A 30-year-old man who was serving 25-years for a drug conviction died at the high-security prison Friday night. Local media identified him as Ali Abdulla from the Galolhu Fehimaa house in the capital Malé.
Ahmed Lugman, spokesman for the Maldives Correctional Service, confirmed the death but refused to disclose the cause.
He declined to respond to allegations of negligence circulating on social media. A family member told VFP that he was suffering from high blood pressure and a congenital heart problem.
Ali had called his mother on Thursday and asked for help in seeking a doctor’s consultation due to cramps. The family blames the MCS for failing to arrange medical care.
“A patient with blood pressure has been ill for many days and so many requests were made to see a doctor. He even called his mother [Thursday] and asked to see why he is not allowed to see a doctor. He apparently collapsed late last night [Friday] at 02:15 am. The family was informed at 04:30 am,” a former policewoman alleged.
MP Ahmed Mahloof, spokesman of the opposition coalition, said the Maldives now has the highest per capita rate of custodial deaths in the world with 13 in the past two years.
“Yet in a few days Criminal Court will be sentencing me to jail regarding a tweet about medical negligence in jails. I repeat those accusations again, as it’s more evident now,” he tweeted.
Mahloof was charged with false reporting to law enforcement over a tweet alleging culpability by the prisons authority. He served a sentence of nearly five months at the Maafushi prison last year.
On Saturday, the opposition Maldivian Democratic Party told the press that a shadow committee is preparing a research paper on recent custodial deaths.
The findings will inform prison policies in the party’s 2018 election manifesto, Malé City deputy mayor Shamau Shareef told reporters, urging the authorities to take medical complaints from inmates seriously.
“Another custodial death. Ali had called his mother yesterday complaining he’s being denied medical attention,” opposition MP Eva Abdulla alleged in a tweet.
“He died last night; report says ‘sudden death.’ No answers for all other custodial deaths over the last three years. No one held accountable, Human Rights Commission of the Maldives playing cover-up for the Govt.”
One social media user observed it was “just another day in Maldives, yet another death in custody and the tides bring in narcotics” whilst another tweet demanded “to know the names of all the inmates who died in custody in the last two years”.
Last month, the Human Rights Commission denied media reports of seeking charges over the custodial death of a Maafushi jail inmate whose family alleged he was denied treatment.
The watchdog launched its investigation on October 10, the same day 51-year-old Abdulla Rasheed died while undergoing treatment in Malé.
In January, a detainee in Maafushi prison, 33-year-old Ahmed Irushaad, died from a heart attack while serving a 25-year sentence on drug charges.
In August last year, another Maafushi inmate Ibrahim Asgar, 31, died of unknown causes while being treated at the island’s medical centre.
Mohamed Badeeu, 52, a diabetes patient, died in late July.",Authorities under fire after custodial death,https://maldivesindependent.com/society/authorities-under-fire-after-custodial-death-138579
4,[],2018-06-02,,"Packages of illicit narcotics from an Iranian boat that ran aground in the northernmost atoll started washing ashore Thursday night.
The boat ran aground on a reef near the Innafinolhu island in Haa Alif atoll. Its eight crewmembers were caught by the coastguard while attempting to flee after setting the stranded vessel on fire.
According to local media, a large amount of drugs was found on the boat. Well-packed cans and containers, as well as debris from the boat, later washed ashore on the beach of the nearby Uligamu island.
Two large packets were found on the beach of Molhadhoo island in Haa Alif atoll around 7 am Saturday morning.
Police have also been searching uninhabited islands in the region.
The Maldives National Defence Force was alerted to the foreign vessel on Thursday morning by fishermen from the northern atoll.
In March 2014, some 24kg of heroin was smuggled in a vessel registered in Iran.
Two Maldivian men were found guilty over the smuggling and sentenced to life imprisonment in April last year. They were the only ones to stand trial of the 18 suspects taken into custody, including 11 Pakistanis, four Maldivians, and three Bangladeshis.
The Pakistanis were later deported and the other suspects were released due to lack of evidence.
The country’s biggest drug haul came in 2006 when 1.6 tonnes of cannabis was found submerged in the lagoon of an island in Alif Alif atoll.
No arrests were made and police destroyed the stash two years later.
Photo of Iranian vessel from MNDF and Uligamu drugs from Raajje.mv",Drugs wash ashore from stranded Iranian boat,https://maldivesindependent.com/crime-2/drugs-wash-ashore-from-stranded-iranian-boat-138576
5,[],2018-05-24,,"A Maldivian national was arrested Wednesday at Sri Lanka’s Bandaranaike International Airport while attempting to smuggle 2kg of heroin.
The Sri Lankan police narcotics bureau nabbed the suspect in the departure terminal following a tip-off, Colombo Page reported.
The 2.39kg of heroin seized in the raid was worth US$154,000. The suspect had visited the country on 15 occasions since 2016.
The Minuwangoda Magistrate Court approved a seven-day remand detention for police questioning.
Last week, two Maldivians were arrested in the largest ecstasy bust in Sri Lanka.
Thousands of Maldivians reside in Sri Lanka, with many families relocating in recent years.
In July 2016, two Maldivians were arrested in Colombo with 385g of heroin. According to Sri Lankan media, the pair were “suspected to be major players in a drug racket operating between Pakistan and Maldives through Sri Lanka.”
Six Maldivians were also arrested in Sri Lanka in early 2016 on charges of drug trafficking. The two separate cases involved some 4kg of heroin.",Maldivian arrested with 2kg of heroin in Colombo airport,https://maldivesindependent.com/crime-2/maldivian-arrested-with-2kg-of-heroin-in-colombo-airport-138382
6,[],2017-12-28,,"The criminal court on Wednesday ordered the return of large amounts of alcohol seized from a tourist liveaboard by the police in a raid last week.
The verdict came after the owner of the liveaboard lodged a case in court claiming the alcohol was seized in violation of the criminal procedures act.
In an operation conducted last Thursday, police searched a safari boat docked in Hulhumale’ lagoon with a court warrant and arrested two Bangladeshi men and a 29-year old Maldivian man. A 46-year old Bangladeshi man was also arrested in Malé with seven liquor bottles in relation to the case.
Police conducted the operation on the grounds of suspicion of using narcotics on the liveaboard and smuggling alcohol into Malé. Possession and distribution of alcohol without a permit is illegal in the Maldives.
More than 87 cases of liquor and 47 cases of beer were seized from the safari boat.
Police said they followed the “correct practices” in the case.
However, Judge Adam Arif said despite seizing alcohol from the liveaboard, the owner of the alcohol had no criminal charges related to the case against him.",Court orders return of seized alcohol,https://maldivesindependent.com/crime-2/court-orders-return-of-seized-alcohol-134771
7,[],2017-09-10,,"The United States has “real concerns about the status of rule of law and democracy” in the Maldives, Acting Assistant Secretary Alice Wells told a congressional subcommittee hearing Thursday on ‘Maintaining US influence in South Asia.’
“Lack of higher educational opportunities, high youth unemployment, rise of social media, and weak institutions all contribute to an environment in which Islamist violent extremism is on the rise,” Wells said at the hearing on the State Department’s 2018 South Asia budget.
“Our work with the government to combat violent extremism remains critically important, in a country with a grim distinction: per capita, it has produced more terrorists who have fought in Iraq and Syria than any other country in the world.”
The State Department’s request for US$440,000 in foreign assistance for the Maldives is to continue “limited support for maritime security cooperation,” she added, noting “threats posed by narcotics trafficking, piracy in the Indian Ocean, and seaborne trade in illicit materials of potential use for terrorist activity.”
The Maldives abuts sea lanes through which pass two-thirds of the world’s oil and half of its container shipments, she observed.
The US concern comes amidst renewed political turmoil after the opposition coalition secured the parliament’s majority with defections from the divided ruling party in early July. Seven former ruling party lawmakers have since been contentiously unseated, a dozen opposition lawmakers put on trial, and Jumhooree Party leader Gasim Ibrahim sentenced in absentia to more than three years in prison.
The military was also deployed to lock down the parliament and protect the embattled speaker whilst former President Maumoon Gayoom’s son, MP Faris Maumoon, who led a bloc of lawmakers loyal to his father, has been detained for nearly two months.
With Speaker Abdulla Maseeh Mohamed conducting the Majlis under military guard and heated exchanges descending into brawls, US Ambassador Atul Keshap had called the events “disturbing and unfortunate” in late August.
“A free and fair parliament governed by impartial rules is essential to the proper functioning of any healthy democracy,” he said in a video message, calling on the government to ensure that the legislature can function freely.
“The United States will continue to stand in solidarity with the people of Maldives. We applaud your faith in democracy. We support your vision of a peaceful, prosperous, stable, moderate, democratic future for the Maldives.”
A day after the statement, JP leader Gasim was sentenced to jail while he remained hospitalised after collapsing inside the courthouse.
The midnight verdict “erases any pretence of judicial impartiality,” Keshap tweeted.
In late July, the US embassy also joined other Western countries to call on the Maldivian government to restore the independence of the legislature after the unprecedented expulsion of opposition lawmakers from the parliament house by the police and military.",US concerned with ‘status of rule of law and democracy’ in Maldives,https://maldivesindependent.com/politics/us-concerned-with-status-of-rule-of-law-and-democracy-in-maldives-132229
8,[],2017-05-25,,"The police seized drugs worth MVR2.3 million (US$149,000) and arrested six suspects during operations conducted over the weekend.
Briefing the press Tuesday evening, Superintendent Moosa Ali, head of the drug enforcement department, said the first operation was carried out in collaboration with the Maldives Customs Service on May 19 based on intelligence information about a suspect planning to smuggle drugs from India.
“We did not find any narcotics after searching his body and luggage at the airport. He was taken to the hospital for further examination where the doctors confirmed unidentified objects after taking an X-ray,” he said.
The 32-year-old Maldivian man swallowed 29 bullets of heroin weighing 177 grammes before flying into the Maldives.
The second operation carried out was based on intelligence information suggesting that two Pakistani nationals living in Malé were involved in drug trafficking.
Two Pakistani women, aged 29 and 26, were arrested along with two Maldivian men, aged 26 and 19, from a café in the capital city on May 20.
“The four of them were in possession of rubber packets containing narcotics. It weighs around 296 grammes. We also confiscated US$14,000 in possession of the two women,” the superintendent revealed.
Aminath Suzee, deputy head of drug enforcement department, said the third operation was conducted on May 20 following information shared by customs.
In a controlled delivery operation, a Maldivian man was arrested on suspicion of bringing in parcels with narcotics through the post.
The parcels contained one rubber packet with 99 restricted pills, a second one with 256 pills, and two rubber packets with illicit narcotics, she said.
The 20-year-old suspect was arrested when he came to collect the package from the post office. A small container with suspected hash oil was found from a cigarette packet in his pocket.
According to a 2012 UN report, there are 7,496 drug addicts in the Maldives. However, critics say the real figure is likely to be much higher as the country’s entrenched drug problem has grown to endemic proportions during the past three decades.
Petty drug users are often arrested and charged with possession, but law enforcement authorities have a history of releasing suspected drug traffickers.
In a rare successful prosecution of a high-profile drug trafficking case, two Maldivian men were found guilty in late March of smuggling 24kg of heroin and sentenced to life imprisonment.
The 24kg of heroin was seized from a dinghy near Hulhumalé in a major operation that lasted for several days.
As of June last year, it was the largest drug haul from a police operation in the country’s history.
On Monday, the criminal court meanwhile transferred to house arrest a suspect who was arrested in a drug bust on April 15.
The Maldivian man and a foreign national were arrested with drugs worth MVR6 million (US$389,105) in their possession.
The police said at the time that they were stopped and searched while riding around in a motorbike in Malé.
Drugs weighing 1.3 kilos were found in a plastic bag carried by one of the men, the police said.",Police seize drugs worth US$150k,https://maldivesindependent.com/crime-2/police-seize-drugs-worth-us150k-130776
9,[],2016-12-26,,"The police drug enforcement department launched a special operation using sniffer dogs in Malé and nearby islands last Thursday, searching hundreds of suspects for illicit narcotics.
Some 369 people and four homes have been searched as of Sunday, the police said in a statement.
The DED officers with the help of the sniffer dogs found “five pieces of cellophane with suspected drugs and four chocolates with suspected drugs in addition to a piece of paper, cannabis seeds and joints made with suspected drugs.”
A 22-year-old man was also arrested during the operation with drugs in his possession. The police later seized 50 rubber packets containing drugs as well as packing items from the suspect’s residence.
The operation is underway in Malé, the capital’s suburb Hulhumalé and other inhabited islands in Kaafu atoll.
A drug operation has also been ongoing in the southern Addu City since December 15, the police said today.
Several suspects have been frisked and police officers based in the southernmost atoll have been checking public spaces and vacant premises.
Nine suspects aged between 16 to 53 have been arrested so far.
The police also found seven rubber packets containing drugs, alcohol brewing equipment, a 30-litre container, two 20-litre containers, two 1.5 litre bottles, and two liquor bottles.
The police began using sniffer dogs in drug raids for the first time in April 2015.
The dog squad or faaragema cost the government US$40,000. Custom-made kennels were established at the airport, and British and Dutch trainers were enlisted to train police officers on working with the dogs.
The dogs were also used to locate drugs at the high-security Maafushi prison in May 2015.
Some 2,326 cases involving drugs have meanwhile been reported to the police so far this year, up from 2,079 in 2015.
Heroin and hashish oil are the most commonly used drugs in the Maldives, but other drugs such as LSD, ecstasy, and synthetic drugs have been discovered in recent years.
According to a 2012 UN report, there are 7,496 heroin addicts in the Maldives. However, critics say the real figure is likely to be much higher.",Hundreds searched in police drug operation,https://maldivesindependent.com/crime-2/hundreds-searched-in-police-drug-operation-128125
